,seller_id,total_orders,total_revenue,delayed_orders,avg_delivery_delay,avg_review_score,one_star_pct,delay_pct
0,0015a82c2db000af6aaaf3ae2ecb0532,3,2748.06,0,-16.333333333333332,3.6666666666666665,33.33333333333333,0.0
1,001cca7ae9ae17fb1caed9dfb1094831,200,33934.17,12,-12.882051282051282,3.984771573604061,12.0,6.0
2,001e6ad469a905060d959994f1b41e4f,1,267.94,0,,1.0,100.0,0.0
3,002100f778ceb8431b7a1020ff7ab48f,51,2028.16,9,-8.18,3.9019607843137254,13.725490196078432,17.647058823529413
4,003554e2dce176b5555353e4f3555ac8,1,139.38,0,-27.0,5.0,0.0,0.0
5,004c9cd9d87a3c30c522c48c4fc07416,158,23263.94,10,-11.724358974358974,4.122580645161291,8.227848101265822,6.329113924050633
6,00720abe85ba0859807595bbf045a33b,13,1323.48,2,-7.769230769230769,3.6153846153846154,23.076923076923077,15.384615384615385
7,00ab3eff1b5192e5f1a63bcecfee11c8,1,110.08,0,-10.0,5.0,0.0,0.0
8,00d8b143d12632bad99c0ad66ad52825,1,137.1,0,-22.0,5.0,0.0,0.0
9,00ee68308b45bc5e2660cd833c3f81cc,135,23440.66,10,-10.792592592592593,4.298507462686567,8.148148148148149,7.4074074074074066
10,00fc707aaaad2d31347cf883cd2dfe10,103,14969.99,4,-15.533980582524272,4.068627450980392,11.650485436893204,3.8834951456310676
11,010543a62bd80aa422851e79a3bc7540,2,1447.95,0,-8.5,4.5,0.0,0.0
12,010da0602d7774602cd1b3f5fb7b709e,1,1079.75,0,-10.0,1.0,100.0,0.0
13,011b0eaba87386a2ae96a7d32bb531d1,1,129.16,0,-30.0,4.0,0.0,0.0
14,01266d4c46afa519678d16a8b683d325,3,137.48,0,-9.333333333333334,5.0,0.0,0.0
15,013900e863eace745d3ec7614cab5b1a,23,2089.37,0,-15.478260869565217,4.695652173913044,0.0,0.0
16,014c0679dd340a0e338872e7ec85666a,14,7686.31,2,-11.071428571428571,3.857142857142857,14.285714285714285,14.285714285714285
17,014d9a685fd57276679edd00e07089e5,11,876.81,0,-12.909090909090908,3.727272727272727,18.181818181818183,0.0
